Año,Trimestre,Ingresos (miles de pesos),Periodo,Tipo de Cambio Trimestral,Ingreso (miles de dólares),Banda ancha fija,Dial up,Total,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,OTROS,Accesos por cada 100 hogares,Accesos por cada 100 hab,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Mbps (Media de bajada),Trimestre.1
2024,2,442032166.69,Abr-Jun 2024,864.5463,511288.0208844801,11544314,11793,11556107,28151,67024,840200,911374,662649,348253,8357088,341368,78.13,24.57,733491,5867504,4169958,593197,191957,139.25,Abr-Jun 2024
2024,1,346198986.13,Ene-Mar 2024,834.312456043956,414951.237539429,11621363,11793,11633156,28801,69355,866152,950930,672155,353896,8363694,328173,78.89,24.79,774475,5986957,4015101,598682,257941,139.15,Ene-Mar 2024
2023,4,167376014.8,Oct-Dic 2023,446.75225760869563,374650.6300738214,11535868,11793,11547661,29708,71742,900253,978108,697232,350290,8224736,295592,78.56,24.66,836390,6022532,3908183,585760,194796,139.04,Oct-Dic 2023
2023,3,133106593.41,Jul-Sept 2023,312.1475597826087,426422.0213757251,11395115,11793,11406908,30274,80609,945608,998725,720084,350918,8003269,277421,77.84,24.41,897895,6018832,3708718,581436,200027,129.67,Jul-Sept 2023
2023,2,118060280.28,Jun-Mar 2023,231.73631648351648,509459.5533039712,11239781,12116,11251897,30827,79405,963510,1028250,734125,364730,7775095,275955,77.02,24.14,1006509,5997149,3463988,581823,202428,123.95,Abr-Jun 2023
2023,1,104134992.81,Ene-Mar 2023,192.34758888888888,541389.6447132197,11229459,12436,11241895,31437,82048,1001553,1060321,729194,357769,7564819,414754,77.2,24.17,1204417,6002582,3243411,576647,214838,110.5,Ene-Mar 2023
2022,4,72443482.9891497,Oct-Dic 2022,162.2028043478261,446622.87609900144,11195668,12446,11208114,31981,85668,1075272,1109421,765015,335573,7410902,394282,77.21,24.15,1315373,6037457,3060575,572969,221740,106.56,Oct-Dic 2022
2022,3,64086784.3305304,Jul-Sept 2022,135.51209891304347,472922.9703072796,11078691,12437,11091128,33013,96727,1161370,1151906,823505,479822,6995750,349035,76.64,23.95,1395277,6031970,2871541,557110,235230,62.46,Jul-Sept 2022
2022,2,60419500.6232803,Abr-Jun 2022,117.87285494505494,512581.9736142316,10946248,12436,10958684,33667,99498,1193090,1197030,856562,485321,6741922,351594,75.9654243719137,23.7204423164287,1468333,5979214,2723285,556243,231609,58.44,Abr-Jun 2022
2022,1,55219313.0146503,Ene-Mar 2022,106.56639444444446,518168.16457497224,10611390,12619,10624009,34890,104840,1263273,1209148,967508,509830,6336187,198333,73.8788028445262,23.0491710386977,1533240,6073426,2219533,545814,251996,55.11,Ene-Mar 2022
2021,4,45467887.1650125,Oct-Dic 2021,100.47538152173912,452527.638874155,10476933,12861,10489794,41262,28521,1413208,1245333,976539,558358,6032322,194251,73.1763965281478,22.810702052175,1657615,5984240,2072236,523107,252596,52.34,Oct-Dic 2021
2021,3,42999944.2928225,Jul-Sept 2021,97.21280978260869,442327.96468881785,10075184,10357,10085541,40174,41437,2550229,1095772,710122,536364,4948174,163269,70.5788534144302,21.9825500827064,1950631,5826257,1566048,492415,250190,48.46,Jul-Sept 2021
2021,2,38239666.6335425,Abr-Jun 2021,94.02905494505495,406679.2615951263,9852702,10382,9863084,40172,42024,2531271,1080279,693277,647401,4661291,167369,69.2401826919972,21.5479389275921,2018587,5641731,1472246,476968,253552,45.63,Abr-Jun 2021
2021,1,36676371.3623924,Ene-Mar 2021,88.54931444444445,414191.4772858353,9637956,10016,9647972,39487,41674,2593477,1072722,737930,595920,4379965,186797,67.9458763888521,21.1278318121601,2175211,5424782,1362976,434548,250455,43.11,Ene-Mar 2021
