Miembro,Telefono Empresa,Web,Localidad,Provincia
GLOBALSAT ARGENTINA TELECOMUNICACIONES SRL 54 11 3987 7728,www.globalsatgroup.com.ar,,,ARGENTINA
INTELIGLOBE COMUNICACIONES ARGENTINA SRL (IG NETWORKS),+54 11 5367 1940,www.ignetworks.com.ar,,ARGENTINA
NUAGE SYSTEMS S.A (EMBLUE),1141363500,www.embluemail.com,,ARGENTINA
SERVICIO SATELITAL S.A.,+54 11 4317 1800,www.satelital.com.ar,,ARGENTINA
TELESPAZIO ARGENTINA SA,(011) 4852 8700,www.telespazio.com.ar,,ARGENTINA
TESAM ARGENTINA S.A.,(+54) (11) 4114 2200 - 0810-34,www.tesacom.net,,ARGENTINA
WEBHOSTING S.R.L. (WNPOWER),0810-345-9676,www.wnpower.com,,ARGENTINA
NODOCOOP FEDERACION DE COOPERATIVAS LTDA,(02923) 494200,www.nodocoop.com.ar,17 de Agosto,BUENOS AIRES
INFOSPORT SA ( TELWINET),0220-4924-393,www.telwinet.com.ar,20 de Junio,BUENOS AIRES
RED INTERCABLE DIGITAL S.A.,(5411) 6091.5600,www.redintercable.com.ar,25 de mayo,BUENOS AIRES
CPS.COMUNICACIONES SA /METROTEL,(011) 6091-1000,www.metrotel.com.ar,3 de Febrero,BUENOS AIRES
IFX NETWORKS ARGENTINA SRL,(011) 5031-2400,www.ifxnetworks.com,3 de Febrero,BUENOS AIRES
VER TV SA/TELERED,0810-810-22253,www.telered.com.ar,3 de Febrero,BUENOS AIRES
COOPERATIVA DE ELECTRICIDAD DE TRENQUE LAUQUEN,02392-4100031/410005,www.cooptl.com.ar,30 de Agosto,BUENOS AIRES
NODOCOOP FEDERACION DE COOPERATIVAS LTDA,(02923) 494200,www.nodocoop.com.ar,30 de Agosto,BUENOS AIRES
RED INTERCABLE DIGITAL S.A.,(5411) 6091.5600,www.redintercable.com.ar,30 de Agosto,BUENOS AIRES
IFX NETWORKS ARGENTINA SRL,(011) 5031-2400,www.ifxnetworks.com,9 de Abril,BUENOS AIRES
COOPERATIVA ELECTRICA Y DE SERVICIOS MARIANO MORENO LTDA (CEYS),,www.ceys.com.ar,9 de Julio,BUENOS AIRES
DE AMBROSIO MARCELO MATIAS (VELONET),(02302) 436605,www.velonet.com.ar,9 de Julio,BUENOS AIRES
IPNEXT S.A.,5368-4000,www.ipnext.net.ar,9 de Julio,BUENOS AIRES
,COOPERATIVA TELEFONICA Y OTROS SERVICIOS PUBLICOS Y DE CONSUMO DE ABASTO LIMITADA,www.cotea.com.ar,Abasto,BUENOS AIRES
SILICA NETWORKS ARGENTINA SA,+54 (11) 4103-1300,www.silicanetworks.com,Abasto,BUENOS AIRES
ETERNET SRL,(02983) 513040,www.eternet.cc,Adolfo G. Chaves,BUENOS AIRES
CIUDAD GLOBAL S.A.,0291-455-8448,www.ciudadglobal.com.ar,Adolfo Gonzalez Chavez,BUENOS AIRES
ADVANTUN SRL,5365-8800,www.advantun.com,Adrogué,BUENOS AIRES
BERTORA RICARDO JORGE (EZ-NET),54 11 4116-2292,www.ez-net.com.ar,Adrogué,BUENOS AIRES
COSEIDI SA,5277-9700,www.fiber.net.ar,Adrogué,BUENOS AIRES
IFX NETWORKS ARGENTINA SRL,(011) 5031-2400,www.ifxnetworks.com,Adrogué,BUENOS AIRES
SION SA,0810 999 0100,www.sion.com,Adrogué,BUENOS AIRES
