Año,Trimestre,Provincia,Accesos por cada 100 hogares,Acceso anterior,Variación (%)
2014,2,Buenos Aires,55.0614169514339,54.5700728794398,0.9003910863003842
2014,3,Buenos Aires,56.754739164071,55.0614169514339,3.0753335209856094
2014,4,Buenos Aires,56.0943365301975,56.754739164071,-1.1636079094018075
2015,1,Buenos Aires,56.3704843302674,56.0943365301975,0.49229176624852355
2015,2,Buenos Aires,56.8028056143921,56.3704843302674,0.7669284542452791
2015,3,Buenos Aires,57.6886810560801,56.8028056143921,1.5595628281141567
2015,4,Buenos Aires,58.2918218273372,57.6886810560801,1.0455097260254218
2016,1,Buenos Aires,57.3359078225411,58.2918218273372,-1.6398767011049278
2016,2,Buenos Aires,59.3385267910581,57.3359078225411,3.4927832218428505
2016,3,Buenos Aires,60.1432954546882,59.3385267910581,1.3562329689509118
2016,4,Buenos Aires,61.2365874303569,60.1432954546882,1.8178118897598183
2017,1,Buenos Aires,58.5740024492033,61.2365874303569,-4.348029654953752
2017,2,Buenos Aires,56.2721441616913,58.5740024492033,-3.9298292608708465
2017,3,Buenos Aires,55.6293833953396,56.2721441616913,-1.14223613819442
2017,4,Buenos Aires,57.6096152902582,55.6293833953396,3.559686938907346
2018,1,Buenos Aires,62.6262116616845,57.6096152902582,8.707915069647429
2018,2,Buenos Aires,62.7822665109499,62.6262116616845,0.2491845588687882
2018,3,Buenos Aires,64.4405675975205,62.7822665109499,2.6413526919761177
2018,4,Buenos Aires,64.6028466348432,64.4405675975205,0.2518274487218341
2019,1,Buenos Aires,66.2425552273681,64.6028466348432,2.5381367508355726
2019,2,Buenos Aires,67.847139823742,66.2425552273681,2.4222866869588433
2019,3,Buenos Aires,69.3563010607913,67.847139823742,2.22435498529474
2019,4,Buenos Aires,64.2520528824542,69.3563010607913,-7.3594584778435514
2020,1,Buenos Aires,64.3256310174343,64.2520528824542,0.11451483910516838
2020,2,Buenos Aires,65.2205801358229,64.3256310174343,1.3912791903215618
2020,3,Buenos Aires,67.6561898309092,65.2205801358229,3.734418936498423
2020,4,Buenos Aires,68.9770222017074,67.6561898309092,1.9522712912141689
2021,1,Buenos Aires,69.1052407618594,68.9770222017074,0.18588590237639038
2021,2,Buenos Aires,70.0033033602797,69.1052407618594,1.2995578750894896
2021,3,Buenos Aires,71.6821894010193,70.0033033602797,2.398295452000353
2021,4,Buenos Aires,75.6641060233847,71.6821894010193,5.554959545235071
2022,1,Buenos Aires,76.0781466115726,75.6641060233847,0.5472087227990756
2022,2,Buenos Aires,77.58,76.0781466115726,1.9740930284425962
2022,3,Buenos Aires,78.11,77.58,0.6831657643722624
2022,4,Buenos Aires,78.94,78.11,1.0626040199718325
2023,1,Buenos Aires,79.0,78.94,0.07600709399544246
2023,2,Buenos Aires,79.67,79.0,0.8481012658227869
2023,3,Buenos Aires,80.64,79.67,1.217522279402534
2023,4,Buenos Aires,80.96,80.64,0.39682539682538837
2024,1,Buenos Aires,81.1,80.96,0.17292490118577147
2024,2,Buenos Aires,79.84,81.1,-1.5536374845869185
2014,2,Capital Federal,113.14335247541,112.254122789269,0.792157707926964
2014,3,Capital Federal,113.800512332415,113.14335247541,0.5808205631416324
2014,4,Capital Federal,114.896765508016,113.800512332415,0.9633112831678784
2015,1,Capital Federal,114.896997148903,114.896765508016,0.00020160783984671384
2015,2,Capital Federal,116.066270918604,114.896997148903,1.017671304486456
2015,3,Capital Federal,118.28921116432,116.066270918604,1.9152336231039186
2015,4,Capital Federal,118.130363211538,118.28921116432,-0.13428777757367524
2016,1,Capital Federal,115.160058888848,118.130363211538,-2.5144291797114215
2016,2,Capital Federal,120.039535048253,115.160058888848,4.2371254465184425
2016,3,Capital Federal,120.772877751015,120.039535048253,0.6109176468129569
2016,4,Capital Federal,120.631331736324,120.772877751015,-0.11720016722861648
2017,1,Capital Federal,108.369208365608,120.631331736324,-10.164957307707214
2017,2,Capital Federal,124.061393756425,108.369208365608,14.480298995888086
2017,3,Capital Federal,121.858325909693,124.061393756425,-1.7757884060672315
2017,4,Capital Federal,122.89742418735,121.858325909693,0.8527101204615769
2018,1,Capital Federal,106.235671745868,122.89742418735,-13.557446424655831
2018,2,Capital Federal,106.534941281467,106.235671745868,0.28170343414864807
2018,3,Capital Federal,108.445914110219,106.534941281467,1.7937521772346727
2018,4,Capital Federal,108.273149970574,108.445914110219,-0.15930903534955498
2019,1,Capital Federal,109.196164558838,108.273149970574,0.8524870556687998
2019,2,Capital Federal,110.545566994852,109.196164558838,1.2357599202002123
2019,3,Capital Federal,112.645387803721,110.545566994852,1.899507023168812
2019,4,Capital Federal,106.245467510411,112.645387803721,-5.68147566277772
2020,1,Capital Federal,105.980174141819,106.245467510411,-0.24969852814286075
2020,2,Capital Federal,106.414805990736,105.980174141819,0.41010675103758915
2020,3,Capital Federal,107.675901165732,106.414805990736,1.1850749181516962
2020,4,Capital Federal,108.311074890435,107.675901165732,0.5898940411237898
2021,1,Capital Federal,108.419939223293,108.311074890435,0.1005108046135905
2021,2,Capital Federal,110.144402032121,108.419939223293,1.5905402836247942
2021,3,Capital Federal,111.271055142509,110.144402032121,1.0228873093881283
2021,4,Capital Federal,111.270026128917,111.271055142509,-0.0009247810139709101
2022,1,Capital Federal,111.797862691747,111.270026128917,0.47437443954444153
2022,2,Capital Federal,121.31,111.797862691747,8.508335561369543
2022,3,Capital Federal,122.28,121.31,0.7996043195119932
2022,4,Capital Federal,122.73,122.28,0.36800785083415344
2023,1,Capital Federal,122.59,122.73,-0.11407153915098228
2023,2,Capital Federal,115.48,122.59,-5.79982054001142
2023,3,Capital Federal,116.4,115.48,0.7966747488742654
2023,4,Capital Federal,117.02,116.4,0.5326460481099573
2024,1,Capital Federal,119.53,117.02,2.1449324901726246
2024,2,Capital Federal,116.37,119.53,-2.643687777127078
2014,2,Catamarca,24.7031188600584,24.2517512545856,1.861175305381108
2014,3,Catamarca,24.7061213053276,24.7031188600584,0.012154114167560561
2014,4,Catamarca,25.513779082748,24.7061213053276,3.26905938588685
2015,1,Catamarca,25.1094663307876,25.513779082748,-1.5846839100123362
2015,2,Catamarca,25.4534180446982,25.1094663307876,1.3698089373124884
2015,3,Catamarca,25.8637811846376,25.4534180446982,1.6122123135634245
2015,4,Catamarca,26.2394517885919,25.8637811846376,1.452496838232762
2016,1,Catamarca,25.9102179811905,26.2394517885919,-1.254728223950707
2016,2,Catamarca,26.0741880597406,25.9102179811905,0.6328394406760087
2016,3,Catamarca,26.4806767574637,26.0741880597406,1.558969724356379
2016,4,Catamarca,26.5435155899619,26.4806767574637,0.23730070448628637
2017,1,Catamarca,25.6593508380215,26.5435155899619,-3.3310009329539194
2017,2,Catamarca,25.9771210676835,25.6593508380215,1.2384188191976147
2017,3,Catamarca,32.4909256779052,25.9771210676835,25.07515976558742
2017,4,Catamarca,28.6209500939249,32.4909256779052,-11.910942834762018
2018,1,Catamarca,32.7936161374153,28.6209500939249,14.57906194517313
2018,2,Catamarca,32.8575008674866,32.7936161374153,0.19480843406718074
2018,3,Catamarca,32.9159453741104,32.8575008674866,0.1778726472822918
2018,4,Catamarca,32.2253461660253,32.9159453741104,-2.098068884961406
2019,1,Catamarca,32.1904889561213,32.2253461660253,-0.10816706118349298
2019,2,Catamarca,32.1309502201928,32.1904889561213,-0.18495753826434702
2019,3,Catamarca,30.8836145267372,32.1309502201928,-3.882037988007301
2019,4,Catamarca,36.4384291271555,30.8836145267372,17.986283942280366
2020,1,Catamarca,37.6154276874603,36.4384291271555,3.2301023630781196
2020,2,Catamarca,45.4318181818182,37.6154276874603,20.779746436230536
2020,3,Catamarca,47.157098984172,45.4318181818182,3.79751652344008
2020,4,Catamarca,49.4068835454974,47.157098984172,4.770829015755455
2021,1,Catamarca,48.8990929278482,49.4068835454974,-1.0277730170565995
2021,2,Catamarca,52.3403096626386,48.8990929278482,7.037383576558363
2021,3,Catamarca,52.7097934860013,52.3403096626386,0.7059259407218283
2021,4,Catamarca,55.2526999859741,52.7097934860013,4.824352993619945
2022,1,Catamarca,58.2063508356117,55.2526999859741,5.345713151370682
2022,2,Catamarca,62.4,58.2063508356117,7.204796562890774
2022,3,Catamarca,65.33,62.4,4.69551282051282
2022,4,Catamarca,65.77,65.33,0.6735037501913328
2023,1,Catamarca,66.17,65.77,0.6081800212863094
2023,2,Catamarca,67.42,66.17,1.8890735983073899
2023,3,Catamarca,68.55,67.42,1.6760605161673028
2023,4,Catamarca,68.63,68.55,0.11670313639678818
2024,1,Catamarca,68.82,68.63,0.2768468599737691
2024,2,Catamarca,68.81,68.82,-0.0145306596919368
2014,2,Chaco,20.9579963674944,20.7185388638408,1.1557644350660055
2014,3,Chaco,21.1126667052624,20.9579963674944,0.7380015486971431
2014,4,Chaco,21.8707832002322,21.1126667052624,3.590813541241754
2015,1,Chaco,26.6495912203056,21.8707832002322,21.850191537825964
2015,2,Chaco,27.4645393883995,26.6495912203056,3.0580137659783486
2015,3,Chaco,27.9630727934794,27.4645393883995,1.8151893903251533
2015,4,Chaco,28.3505662351414,27.9630727934794,1.3857326929834288
2016,1,Chaco,28.0751464477524,28.3505662351414,-0.971478964845542
2016,2,Chaco,28.5935505552226,28.0751464477524,1.846487634302979
2016,3,Chaco,28.910749068481,28.5935505552226,1.1093358715483634
2016,4,Chaco,28.7866560852553,28.910749068481,-0.4292278381710603
2017,1,Chaco,28.6216605384279,28.7866560852553,-0.5731667698351057
2017,2,Chaco,29.0455247754534,28.6216605384279,1.48092119412993
2017,3,Chaco,29.9759256476576,29.0455247754534,3.2032503437172815
2017,4,Chaco,30.8081581112365,29.9759256476576,2.77633616176231
2018,1,Chaco,30.8299276457025,30.8081581112365,0.0706615903079889
2018,2,Chaco,31.2517049960349,30.8299276457025,1.368077652271725
2018,3,Chaco,32.2831008330776,31.2517049960349,3.300286615317653
2018,4,Chaco,32.5909608763298,32.2831008330776,0.9536260003152133
2019,1,Chaco,32.6358765794295,32.5909608763298,0.1378164432467488
2019,2,Chaco,34.1402609798676,32.6358765794295,4.60960316716701
2019,3,Chaco,35.8460309754608,34.1402609798676,4.99635898096704
2019,4,Chaco,36.8354786303424,35.8460309754608,2.760271159613041
2020,1,Chaco,37.4838333691726,36.8354786303424,1.7601365936809963
2020,2,Chaco,39.8325027900658,37.4838333691726,6.265819714225897
2020,3,Chaco,41.5419205780652,39.8325027900658,4.291514889257039
2020,4,Chaco,43.0307886497791,41.5419205780652,3.5840135723046984
2021,1,Chaco,43.1364924170879,43.0307886497791,0.24564682783090452
2021,2,Chaco,43.3276272929354,43.1364924170879,0.44309322603100765
2021,3,Chaco,42.9624100796766,43.3276272929354,-0.8429199475650583
2021,4,Chaco,44.0485638902593,42.9624100796766,2.528149162415138
2022,1,Chaco,44.0594800994188,44.0485638902593,0.024782213528443137
2022,2,Chaco,43.79,44.0594800994188,-0.6116279602272356
2022,3,Chaco,43.86,43.79,0.1598538479104825
2022,4,Chaco,43.62,43.86,-0.5471956224350251
2023,1,Chaco,43.15,43.62,-1.0774873911049951
2023,2,Chaco,42.87,43.15,-0.6488991888760166
2023,3,Chaco,42.87,42.87,0.0
2023,4,Chaco,44.35,42.87,3.452297644040131
2024,1,Chaco,46.7,44.35,5.298759864712517
2024,2,Chaco,44.06,46.7,-5.653104925053534
2014,2,Chubut,41.4102098199126,41.2352180797243,0.4243744748723635
2014,3,Chubut,40.5986709442745,41.4102098199126,-1.959755526879415
2014,4,Chubut,40.2492746845027,40.5986709442745,-0.8606100930037346
2015,1,Chubut,37.6127806859079,40.2492746845027,-6.550413688845773
2015,2,Chubut,36.5824672045848,37.6127806859079,-2.739264320622586
2015,3,Chubut,36.8118099146332,36.5824672045848,0.6269197448215208
2015,4,Chubut,36.8901782778659,36.8118099146332,0.21288918804708337
2016,1,Chubut,36.0927055378499,36.8901782778659,-2.161748132549637
2016,2,Chubut,36.1243856555634,36.0927055378499,0.08777429467091798
2016,3,Chubut,36.1786944287865,36.1243856555634,0.1503382610874512
2016,4,Chubut,36.072905464279,36.1786944287865,-0.29240680510384265
2017,1,Chubut,35.662220237763,36.072905464279,-1.1384866875297315
2017,2,Chubut,35.5460111791441,35.662220237763,-0.32586041430994483
2017,3,Chubut,46.2153774665184,35.5460111791441,30.01564995184137
2017,4,Chubut,51.4630962674935,46.2153774665184,11.354919268541968
2018,1,Chubut,53.7156048824891,51.4630962674935,4.376939551572211
2018,2,Chubut,54.9023033373551,53.7156048824891,2.209224782001575
2018,3,Chubut,56.391745852269,54.9023033373551,2.7128962254312046
2018,4,Chubut,42.6109360960454,56.391745852269,-24.437636302882986
2019,1,Chubut,42.997736337178,42.6109360960454,0.9077487531856764
2019,2,Chubut,46.9879841362692,42.997736337178,9.280134581505939
2019,3,Chubut,47.5662416229331,46.9879841362692,1.2306497018193088
2019,4,Chubut,51.1450178551471,47.5662416229331,7.523773394971298
2020,1,Chubut,51.268489419097,51.1450178551471,0.2414146462898787
2020,2,Chubut,57.3446133872355,51.268489419097,11.851575962125386
2020,3,Chubut,68.3438981572004,57.3446133872355,19.181025244148326
2020,4,Chubut,68.3518991582562,68.3438981572004,0.01170697205096393
2021,1,Chubut,68.9942808881567,68.3518991582562,0.9398154810785521
2021,2,Chubut,72.2941048193647,68.9942808881567,4.782749944966012
2021,3,Chubut,80.7097384765756,72.2941048193647,11.640829744331626
2021,4,Chubut,82.5734006387143,80.7097384765756,2.3090920591690436
2022,1,Chubut,88.0527409383577,82.5734006387143,6.635720773590646
2022,2,Chubut,83.19,88.0527409383577,-5.522532162584149
2022,3,Chubut,84.38,83.19,1.4304603918740206
2022,4,Chubut,85.57,84.38,1.4102867978193858
2023,1,Chubut,85.89,85.57,0.37396283744303777
2023,2,Chubut,82.49,85.89,-3.9585516358132558
2023,3,Chubut,84.23,82.49,2.1093465874651587
2023,4,Chubut,84.96,84.23,0.8666745815030152
2024,1,Chubut,84.89,84.96,-0.08239171374763793
2024,2,Chubut,86.33,84.89,1.6963128754859205
2014,2,Corrientes,22.5756130032436,22.3167167138389,1.1601002635130202
2014,3,Corrientes,22.7875350351524,22.5756130032436,0.9387210521297928
2014,4,Corrientes,23.5624309927751,22.7875350351524,3.4005255786873563
2015,1,Corrientes,28.9501912819093,23.5624309927751,22.865893127862066
2015,2,Corrientes,29.5840126681085,28.9501912819093,2.1893512896934366
2015,3,Corrientes,30.167412409019,29.5840126681085,1.972010178116928
2015,4,Corrientes,30.3364314453388,30.167412409019,0.5602702480020076
2016,1,Corrientes,30.0807850041331,30.3364314453388,-0.8427043954274271
2016,2,Corrientes,30.5801620466166,30.0807850041331,1.6601197156752525
2016,3,Corrientes,31.0668788260512,30.5801620466166,1.5916095496572171
2016,4,Corrientes,30.9810703764977,31.0668788260512,-0.2762055693909793
2017,1,Corrientes,30.9406001096441,30.9810703764977,-0.13062901430384563
2017,2,Corrientes,31.386121368355,30.9406001096441,1.439924426585474
2017,3,Corrientes,32.165435745938,31.386121368355,2.482990390678669
2017,4,Corrientes,32.5151183111876,32.165435745938,1.0871376592302529
2018,1,Corrientes,32.6634608731751,32.5151183111876,0.4562264254054923
2018,2,Corrientes,33.8097539088117,32.6634608731751,3.509404713993419
2018,3,Corrientes,34.2499388738322,33.8097539088117,1.3019466696141073
2018,4,Corrientes,34.5662765686955,34.2499388738322,0.9236153560115984
2019,1,Corrientes,35.1349868869881,34.5662765686955,1.6452750332028747
2019,2,Corrientes,38.155585884188,35.1349868869881,8.597125728026233
2019,3,Corrientes,38.4853511358672,38.155585884188,0.8642646785194721
2019,4,Corrientes,38.7674409892621,38.4853511358672,0.7329798093799935
2020,1,Corrientes,38.7290799422309,38.7674409892621,-0.0989517132219985
2020,2,Corrientes,40.3047626797957,38.7290799422309,4.0684744897506615
2020,3,Corrientes,41.7507494704644,40.3047626797957,3.587632563814981
2020,4,Corrientes,42.428283946949,41.7507494704644,1.6228079377686586
2021,1,Corrientes,42.6641284388214,42.428283946949,0.5558662051175379
2021,2,Corrientes,43.5411637336848,42.6641284388214,2.055673763782681
2021,3,Corrientes,44.9008831266441,43.5411637336848,3.122836590394999
2021,4,Corrientes,45.5101610294635,44.9008831266441,1.356939686689255
2022,1,Corrientes,47.6446351415023,45.5101610294635,4.6901045036007085
2022,2,Corrientes,48.35,47.6446351415023,1.4804706897278204
2022,3,Corrientes,48.21,48.35,-0.28955532574974263
2022,4,Corrientes,51.64,48.21,7.114706492428955
