Año,Trimestre,Provincia,Mbps (Media de bajada),Velocidad anterior,Variación (%)
2014,2,Buenos Aires,3.85186276004367,3.73313279998293,3.180437622290929
2014,3,Buenos Aires,3.96904699117324,3.85186276004367,3.0422743080348362
2014,4,Buenos Aires,4.19894350823666,3.96904699117324,5.792234699530804
2015,1,Buenos Aires,4.32380370934677,4.19894350823666,2.97360992985935
2015,2,Buenos Aires,4.46349566354801,4.32380370934677,3.230765399901677
2015,3,Buenos Aires,4.70059791427046,4.46349566354801,5.312030493471537
2015,4,Buenos Aires,4.88414890585654,4.70059791427046,3.9048434887153443
2016,1,Buenos Aires,4.99216843748391,4.88414890585654,2.2116346923380026
2016,2,Buenos Aires,5.41514436700482,4.99216843748391,8.472789626747714
2016,3,Buenos Aires,5.91491800816368,5.41514436700482,9.229184067631612
2016,4,Buenos Aires,6.35154645026031,5.91491800816368,7.381817321795539
2017,1,Buenos Aires,6.67848257709171,6.35154645026031,5.147346860983774
2017,2,Buenos Aires,7.19874775188798,6.67848257709171,7.790170428547122
2017,3,Buenos Aires,8.42570621185365,7.19874775188798,17.04405408070981
2017,4,Buenos Aires,12.9720825438982,8.42570621185365,53.9584008477356
2018,1,Buenos Aires,14.1988896446809,12.9720825438982,9.457287190635132
2018,2,Buenos Aires,14.6793755121758,14.1988896446809,3.3839678983271573
2018,3,Buenos Aires,16.7797351323622,14.6793755121758,14.308235513453955
2018,4,Buenos Aires,16.9343630101501,16.7797351323622,0.921515605390434
2019,1,Buenos Aires,19.6439582242305,16.9343630101501,16.000573581990203
2019,2,Buenos Aires,22.4800460185574,19.6439582242305,14.437455842420968
2019,3,Buenos Aires,25.6793801438341,22.4800460185574,14.23188423473703
2019,4,Buenos Aires,30.7696941410059,25.6793801438341,19.82257347591796
2020,1,Buenos Aires,45.1812880737555,30.7696941410059,46.83697493613913
2020,2,Buenos Aires,45.6619736321228,45.1812880737555,1.0639040604212315
2020,3,Buenos Aires,48.3766239081151,45.6619736321228,5.945100616681547
2020,4,Buenos Aires,50.0083808396358,48.3766239081151,3.3730277140050147
2021,1,Buenos Aires,50.7856560850651,50.0083808396358,1.5542899657595912
2021,2,Buenos Aires,52.7554293700371,50.7856560850651,3.878601630493192
2021,3,Buenos Aires,56.2575509246959,52.7554293700371,6.638409726692244
2021,4,Buenos Aires,60.2091238315554,56.2575509246959,7.024075598578616
2022,1,Buenos Aires,62.51,60.2091238315554,3.821474258422466
2022,2,Buenos Aires,65.5,62.51,4.783234682450812
2022,3,Buenos Aires,70.19,65.5,7.160305343511447
2022,4,Buenos Aires,111.0,70.19,58.14218549650948
2023,1,Buenos Aires,116.18,111.0,4.666666666666673
2023,2,Buenos Aires,138.35,116.18,19.082458254432765
2023,3,Buenos Aires,146.84,138.35,6.136610046982298
2023,4,Buenos Aires,158.49,146.84,7.9338055025878536
2024,1,Buenos Aires,159.13,158.49,0.4038109659915366
2024,2,Buenos Aires,157.41,159.13,-1.0808772701564753
2014,2,Capital Federal,4.24999122363848,4.02408151087022,5.6139447513180825
2014,3,Capital Federal,4.43738094339007,4.24999122363848,4.409178981578302
2014,4,Capital Federal,4.78178771127556,4.43738094339007,7.761487514352774
2015,1,Capital Federal,4.99971168387637,4.78178771127556,4.557374474967614
2015,2,Capital Federal,5.31214873823781,4.99971168387637,6.249101430568923
2015,3,Capital Federal,5.66468043459464,5.31214873823781,6.636329548140149
2015,4,Capital Federal,5.92780352297904,5.66468043459464,4.644976736507264
2016,1,Capital Federal,6.0474037028117,5.92780352297904,2.0176137648461485
2016,2,Capital Federal,6.57621893245929,6.0474037028117,8.744500212574223
2016,3,Capital Federal,7.38017269920781,6.57621893245929,12.225167303666202
2016,4,Capital Federal,7.95759624275289,7.38017269920781,7.8239841678374455
2017,1,Capital Federal,8.34814731669542,7.95759624275289,4.907902613156705
2017,2,Capital Federal,8.84321983078825,8.34814731669542,5.930327955554136
2017,3,Capital Federal,10.6357202740733,8.84321983078825,20.269771390781692
2017,4,Capital Federal,15.2022188691604,10.6357202740733,42.935489815568545
2018,1,Capital Federal,17.7455773041801,15.2022188691604,16.73017904102945
2018,2,Capital Federal,18.9381345892782,17.7455773041801,6.72030706387436
2018,3,Capital Federal,21.6433683640614,18.9381345892782,14.284584165511019
2018,4,Capital Federal,22.9353019922347,21.6433683640614,5.969189298272737
2019,1,Capital Federal,24.7150632938498,22.9353019922347,7.759920938550017
2019,2,Capital Federal,30.346259857092,24.7150632938498,22.784471543892398
2019,3,Capital Federal,38.7141005607114,30.346259857092,27.57453716875035
2019,4,Capital Federal,44.2031786700859,38.7141005607114,14.178498350404736
2020,1,Capital Federal,58.7056829624225,44.2031786700859,32.808736223648644
2020,2,Capital Federal,60.4844973584038,58.7056829624225,3.030054853667095
2020,3,Capital Federal,63.8085202560717,60.4844973584038,5.495660942623437
2020,4,Capital Federal,67.3251367687937,63.8085202560717,5.511202106880659
2021,1,Capital Federal,68.290268867969,67.3251367687937,1.4335390100873309
2021,2,Capital Federal,72.7467500323148,68.290268867969,6.52579238333628
2021,3,Capital Federal,77.7120710690731,72.7467500323148,6.825488471378678
2021,4,Capital Federal,82.9499549654225,77.7120710690731,6.740116206263239
2022,1,Capital Federal,88.22,82.9499549654225,6.3532825747455774
